@relation 'Decision Stumps'

@attribute stump0 {1,0}
@attribute stump1 {1,0}
@attribute stump2 {1,0}
@attribute stump3 {1,0}
@attribute stump4 {1,0}
@attribute stump5 {1,0}
@attribute stump6 {1,0}
@attribute stump7 {1,0}
@attribute stump8 {1,0}
@attribute stump9 {1,0}
@attribute stump10 {1,0}
@attribute stump11 {1,0}
@attribute stump12 {1,0}
@attribute stump13 {1,0}
@attribute stump14 {1,0}
@attribute stump15 {1,0}
@attribute stump16 {1,0}
@attribute stump17 {1,0}
@attribute stump18 {1,0}
@attribute stump19 {1,0}
@attribute stump20 {1,0}
@attribute stump21 {1,0}
@attribute stump22 {1,0}
@attribute stump23 {1,0}
@attribute stump24 {1,0}
@attribute stump25 {1,0}
@attribute stump26 {1,0}
@attribute stump27 {1,0}
@attribute stump28 {1,0}
@attribute stump29 {1,0}
@attribute stump30 {1,0}
@attribute stump31 {1,0}
@attribute stump32 {1,0}
@attribute stump33 {1,0}
@attribute stump34 {1,0}
@attribute stump35 {1,0}
@attribute stump36 {1,0}
@attribute stump37 {1,0}
@attribute stump38 {1,0}
@attribute stump39 {1,0}
@attribute stump40 {1,0}
@attribute stump41 {1,0}
@attribute stump42 {1,0}
@attribute stump43 {1,0}
@attribute stump44 {1,0}
@attribute stump45 {1,0}
@attribute stump46 {1,0}
@attribute stump47 {1,0}
@attribute stump48 {1,0}
@attribute stump49 {1,0}
@attribute stump50 {1,0}
@attribute stump51 {1,0}
@attribute stump52 {1,0}
@attribute stump53 {1,0}
@attribute stump54 {1,0}
@attribute stump55 {1,0}
@attribute stump56 {1,0}
@attribute stump57 {1,0}
@attribute stump58 {1,0}
@attribute stump59 {1,0}
@attribute stump60 {1,0}
@attribute stump61 {1,0}
@attribute stump62 {1,0}
@attribute stump63 {1,0}
@attribute stump64 {1,0}
@attribute stump65 {1,0}
@attribute stump66 {1,0}
@attribute stump67 {1,0}
@attribute stump68 {1,0}
@attribute stump69 {1,0}
@attribute stump70 {1,0}
@attribute stump71 {1,0}
@attribute stump72 {1,0}
@attribute stump73 {1,0}
@attribute stump74 {1,0}
@attribute stump75 {1,0}
@attribute stump76 {1,0}
@attribute stump77 {1,0}
@attribute stump78 {1,0}
@attribute stump79 {1,0}
@attribute stump80 {1,0}
@attribute stump81 {1,0}
@attribute stump82 {1,0}
@attribute stump83 {1,0}
@attribute stump84 {1,0}
@attribute stump85 {1,0}
@attribute stump86 {1,0}
@attribute stump87 {1,0}
@attribute stump88 {1,0}
@attribute stump89 {1,0}
@attribute stump90 {1,0}
@attribute stump91 {1,0}
@attribute stump92 {1,0}
@attribute stump93 {1,0}
@attribute stump94 {1,0}
@attribute stump95 {1,0}
@attribute stump96 {1,0}
@attribute stump97 {1,0}
@attribute stump98 {1,0}
@attribute stump99 {1,0}
@attribute Class {+,-}

@data
1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,-
1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,+
0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,+
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-
1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,+
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,+
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,-
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-
